product_id,brand_name,type_id,model,,os,best_price,screen_size,memory_size,battery_size,release_date,
302,ALCATEL,1,1 1/8GB Bluish Black (5033D-2JALUAA),screen_size : 5 ;  memory_size : 8 ; battery_size : 2000 ; os  :  Android,Android,1690,5,8,2000,Oct-20,
326,Honor,1,10i 4/128GB Black (51093VQV),screen_size : 6.21 ;  memory_size : 128 ; battery_size : 3400 ; os  :  Android,Android,5499,6.21,128,3400,May-19,
327,Honor,1,10i 4/128GB Blue (51093VQX),screen_size : 6.21 ;  memory_size : 128 ; battery_size : 3400 ; os  :  Android,Android,5499,6.21,128,3400,May-19,
328,Nokia,1,110 Dual Sim 2019 Black (16NKLB01A07),screen_size : 1.77 ;  memory_size :  ; battery_size : 800 ; os  :  ,,710,1.77,,800,Nov-19,
329,Nokia,1,110 Dual Sim 2019 Blue (16NKLL01A04),screen_size : 1.77 ;  memory_size :  ; battery_size : 800 ; os  :  ,,702,1.77,,800,Nov-19,
330,Nokia,1,125 Dual Sim Black (16GMNB01A17),screen_size : 2.4 ;  memory_size :  ; battery_size : 1020 ; os  :  ,,992,2.4,,1020,Jul-20,
331,Meizu,1,15 4/128GB Black,screen_size : 5.45 ;  memory_size : 128 ; battery_size : 3000 ; os  :  Android,Android,6584,5.45,128,3000,May-18,
332,Meizu,1,15 4/64GB Black,screen_size : 5.45 ;  memory_size : 64 ; battery_size : 3000 ; os  :  Android,Android,5272,5.45,64,3000,May-18,
333,Meizu,1,15 4/64GB Black,screen_size : 5.45 ;  memory_size : 64 ; battery_size : 3000 ; os  :  Android,Android,5272,5.45,64,3000,May-18,
334,Meizu,1,15 4/64GB Black,screen_size : 5.45 ;  memory_size : 64 ; battery_size : 3000 ; os  :  Android,Android,5272,5.45,64,3000,May-18,
335,Meizu,1,15 Plus 6/64GB Black,screen_size : 5.95 ;  memory_size : 64 ; battery_size : 3500 ; os  :  Android,Android,5328,5.95,64,3500,Jun-18,
336,Meizu,1,15 Plus 6/64GB Gray,screen_size : 5.95 ;  memory_size : 64 ; battery_size : 3500 ; os  :  Android,Android,5328,5.95,64,3500,Jun-18,
337,Meizu,1,15 Plus 6/64GB Gray,screen_size : 5.95 ;  memory_size : 64 ; battery_size : 3500 ; os  :  Android,Android,5328,5.95,64,3500,Jun-18,
338,Nokia,1,150 Black,screen_size : 2.4 ;  memory_size :  ; battery_size : 1020 ; os  :  ,,1180,2.4,,1020,Feb-17,
339,Nokia,1,150 Dual Sim Cyan (16GMNE01A04),screen_size : 2.4 ;  memory_size :  ; battery_size : 1020 ; os  :  ,,1190,2.4,,1020,Jul-20,
340,Nokia,1,150 Dual Sim Red (16GMNR01A02),screen_size : 2.4 ;  memory_size :  ; battery_size : 1020 ; os  :  ,,1196,2.4,,1020,Jul-20,
341,Nokia,1,150 White,screen_size : 2.4 ;  memory_size :  ; battery_size : 1020 ; os  :  ,,1090,2.4,,1020,Feb-17,
342,Meizu,1,16 6/128GB Black,screen_size : 6 ;  memory_size : 128 ; battery_size : 3100 ; os  :  Android,Android,5926,6,128,3100,Nov-18,
343,Meizu,1,16 6/64GB Black,screen_size : 6 ;  memory_size : 64 ; battery_size : 3100 ; os  :  Android,Android,5231,6,64,3100,Nov-18,
344,Meizu,1,16X 6/128GB Dual Purple,screen_size : 6 ;  memory_size : 128 ; battery_size : 3100 ; os  :  Android,Android,5649,6,128,3100,Mar-20,
345,Meizu,1,16Xs 6/128GB Pearl White,screen_size : 6.2 ;  memory_size : 128 ; battery_size : 4000 ; os  :  Android,Android,7229,6.2,128,4000,Nov-20,
346,Meizu,1,16th 6/64GB Black,screen_size : 6 ;  memory_size : 64 ; battery_size : 3010 ; os  :  Android,Android,7776,6,64,3010,Sep-18,
347,ALCATEL,1,1B 5002H Pine Green (5002H-2BALUA12),screen_size : 5.5 ;  memory_size : 16 ; battery_size : 3000 ; os  :  Android,Android,2399,5.5,16,3000,Sep-20,
348,ALCATEL,1,1B 5002H Prime Black (5002H-2AALUA12),screen_size : 5.5 ;  memory_size : 16 ; battery_size : 3000 ; os  :  Android,Android,2408,5.5,16,3000,Sep-20,
349,ALCATEL,1,1SE 3/32GB Power Gray (5030D-2AALUA2),screen_size : 6.22 ;  memory_size : 32 ; battery_size : 4000 ; os  :  Android,Android,3249,6.22,32,4000,Oct-20,
350,ALCATEL,1,1SE 4/128GB Agate Green (5030E-2BALUA2),screen_size : 6.22 ;  memory_size : 128 ; battery_size : 4000 ; os  :  Android,Android,3877,6.22,128,4000,Oct-20,
351,ALCATEL,1,1SE 4/128GB Agate Green (5030E-2BALUA2),screen_size : 6.22 ;  memory_size : 128 ; battery_size : 4000 ; os  :  Android,Android,3877,6.22,128,4000,Oct-20,
352,Nokia,1,2.2 2/16GB Black,screen_size : 5.71 ;  memory_size : 16 ; battery_size : 3000 ; os  :  Android,Android,2299,5.71,16,3000,Aug-19,
353,Nokia,1,2.3 2/32GB Green,screen_size : 6.2 ;  memory_size : 32 ; battery_size : 4000 ; os  :  Android,Android,2799,6.2,32,4000,Feb-20,
354,Nokia,1,2.4 2/32GB Charcoal,screen_size : 6.5 ;  memory_size : 32 ; battery_size : 4500 ; os  :  Android,Android,3162,6.5,32,4500,Sep-20,
355,Honor,1,20 6/128GB Black,screen_size : 6.26 ;  memory_size : 128 ; battery_size : 3750 ; os  :  Android,Android,9999,6.26,128,3750,Jul-19,
356,ALCATEL,1,2003 Dual SIM Dark Gray (2003D-2AALUA1),screen_size : 2.4 ;  memory_size :  ; battery_size : 970 ; os  :  ,,655,2.4,,970,Oct-20,
357,ALCATEL,1,2003 Dual SIM Dark Gray (2003D-2AALUA1),screen_size : 2.4 ;  memory_size :  ; battery_size : 970 ; os  :  ,,655,2.4,,970,Oct-20,
358,ALCATEL,1,2003 Dual SIM Metallic Blue (2003D-2BALUA1),screen_size : 2.4 ;  memory_size :  ; battery_size : 970 ; os  :  ,,654,2.4,,970,Oct-20,
359,ALCATEL,1,2019 Single SIM Metallic Gray (2019G-3AALUA1),screen_size : 2.4 ;  memory_size :  ; battery_size : 970 ; os  :  ,,864,2.4,,970,Oct-20,
360,ALCATEL,1,2053 Dual SIM Pure White (2053D-2BALUA1),screen_size : 2.4 ;  memory_size :  ; battery_size : 970 ; os  :  ,,900,2.4,,970,Oct-20,
361,ALCATEL,1,2053 Dual SIM Volcano Black (2053D-2AALUA1),screen_size : 2.4 ;  memory_size :  ; battery_size : 970 ; os  :  ,,898,2.4,,970,Oct-20,
362,Nokia,1,210 Dual SIM 2019 Black (16OTRB01A02),screen_size : 2.4 ;  memory_size : 0.016 ; battery_size : 1020 ; os  :  ,,1153,2.4,0.016,1020,May-19,
363,Nokia,1,230 Dual Blue (16PCML01A02),screen_size : 2.8 ;  memory_size : 0.016 ; battery_size : 1200 ; os  :  ,,1864,2.8,0.016,1200,Mar-19,
364,Nokia,1,230 Dual Dark Silver (A00026971),screen_size : 2.8 ;  memory_size : 0.016 ; battery_size : 1200 ; os  :  ,,1847,2.8,0.016,1200,Dec-15,
365,Nokia,1,2720 Flip Black (16BTSB01A10),screen_size : 2.8 ;  memory_size : 4 ; battery_size : 1500 ; os  :  iOS,iOS,2530,2.8,4,1500,Sep-19,
366,Nokia,1,2720 Flip Red,screen_size : 2.8 ;  memory_size : 4 ; battery_size : 1500 ; os  :  ,,2567,2.8,4,1500,Jan-20,
367,Nokia,1,2720 Flip Red,screen_size : 2.8 ;  memory_size : 4 ; battery_size : 1500 ; os  :  ,,2567,2.8,4,1500,Jan-20,
368,realme,1,3 Pro 6/128GB Nitro Blue,screen_size : 6.3 ;  memory_size : 128 ; battery_size : 4045 ; os  :  Android,Android,7068,6.3,128,4045,Oct-19,
369,realme,1,3 Pro 6/128GB Nitro Blue,screen_size : 6.3 ;  memory_size : 128 ; battery_size : 4045 ; os  :  Android,Android,7068,6.3,128,4045,Oct-19,
370,Nokia,1,3.4 3/64GB Charcoal,screen_size : 6.39 ;  memory_size : 64 ; battery_size : 4000 ; os  :  Android,Android,3899,6.39,64,4000,Sep-20,
371,OnePlus,1,3T 128GB (Gunmetal),screen_size : 5.5 ;  memory_size : 128 ; battery_size : 3400 ; os  :  OxygenOS,OxygenOS,6991,5.5,128,3400,Jan-17,
372,OnePlus,1,3T 128GB (Gunmetal),screen_size : 5.5 ;  memory_size : 128 ; battery_size : 3400 ; os  :  OxygenOS,OxygenOS,6991,5.5,128,3400,Jan-17,
373,OnePlus,1,3T 64GB (Gunmetal),screen_size : 5.5 ;  memory_size : 64 ; battery_size : 3400 ; os  :  OxygenOS,OxygenOS,5856,5.5,64,3400,Dec-16,
374,ALCATEL,1,3X 5048Y Black (5048Y-2AALWE12),screen_size : 6.52 ;  memory_size : 64 ; battery_size : 4000 ; os  :  Android,Android,3590,6.52,64,4000,Sep-20,
375,Archos,1,40 Neon,screen_size : 4 ;  memory_size : 8 ; battery_size : 1300 ; os  :  Android,Android,840,4,8,1300,May-16,
376,Archos,1,40 Neon,screen_size : 4 ;  memory_size : 8 ; battery_size : 1300 ; os  :  Android,Android,840,4,8,1300,May-16,
377,realme,1,5 4/128GB Violet,screen_size : 6.5 ;  memory_size : 128 ; battery_size : 5000 ; os  :  Android,Android,5757,6.5,128,5000,Mar-20,
378,OnePlus,1,5 6/64GB Black,screen_size : 5.5 ;  memory_size : 64 ; battery_size : 3300 ; os  :  Android,Android,7333,5.5,64,3300,Jun-17,
379,OnePlus,1,5 6/64GB Slate Grey,screen_size : 5.5 ;  memory_size : 64 ; battery_size : 3300 ; os  :  Android,Android,7333,5.5,64,3300,Jun-17,
380,realme,1,5 Pro 8/128GB Green,screen_size : 6.3 ;  memory_size : 128 ; battery_size : 4035 ; os  :  Android,Android,8294,6.3,128,4035,Jan-20,
381,realme,1,5 Pro 8/128GB Green,screen_size : 6.3 ;  memory_size : 128 ; battery_size : 4035 ; os  :  Android,Android,8294,6.3,128,4035,Jan-20,
382,realme,1,5 Pro 8/128GB Green,screen_size : 6.3 ;  memory_size : 128 ; battery_size : 4035 ; os  :  Android,Android,8294,6.3,128,4035,Jan-20,
383,Nokia,1,5.3 4/64GB Charcoal,screen_size : 6.55 ;  memory_size : 64 ; battery_size : 4000 ; os  :  Android,Android,4429,6.55,64,4000,Jun-20,
384,Nokia,1,5.4 4/128GB Polar Night,screen_size : 6.39 ;  memory_size : 128 ; battery_size : 4000 ; os  :  Android,Android,9323,6.39,128,4000,Jan-21,
385,Nokia,1,5310 2020 DualSim Black/Red (16PISXO1A18),screen_size : 2.4 ;  memory_size : 0.016 ; battery_size : 1200 ; os  :  ,,1365,2.4,0.016,1200,Apr-20,
386,realme,1,5i 4/64GB Green,screen_size : 6.5 ;  memory_size : 64 ; battery_size : 5000 ; os  :  Android,Android,4761,6.5,64,5000,Mar-20,
387,realme,1,6 4/128GB Blue,screen_size : 6.5 ;  memory_size : 128 ; battery_size : 4300 ; os  :  Android,Android,5936,6.5,128,4300,Apr-20,
388,realme,1,6 4/64GB Blue,screen_size : 6.5 ;  memory_size : 64 ; battery_size : 4300 ; os  :  Android,Android,5299,6.5,64,4300,Apr-20,
389,Nokia,1,6 64GB Black,screen_size : 5.5 ;  memory_size : 64 ; battery_size : 3000 ; os  :  Android,Android,6381,5.5,64,3000,Apr-17,
390,Nokia,1,6 64GB Silver,screen_size : 5.5 ;  memory_size : 64 ; battery_size : 3000 ; os  :  Android,Android,5265,5.5,64,3000,May-17,
391,realme,1,6 8/128GB Blue,screen_size : 6.5 ;  memory_size : 128 ; battery_size : 4300 ; os  :  Android,Android,6767,6.5,128,4300,Apr-20,
392,realme,1,6 Pro 8/128GB Blue,screen_size : 6.6 ;  memory_size : 128 ; battery_size : 4300 ; os  :  Android,Android,8045,6.6,128,4300,Apr-20,
393,Nokia,1,6.1 4/32GB Black,screen_size : 5.5 ;  memory_size : 32 ; battery_size : 3000 ; os  :  Android,Android,3820,5.5,32,3000,Jun-18,
394,Nokia,1,6.1 4/64GB Black,screen_size : 5.5 ;  memory_size : 64 ; battery_size : 3000 ; os  :  Android,Android,3962,5.5,64,3000,Mar-18,
395,Nokia,1,6.1 Plus 4/64GB Blue,screen_size : 5.8 ;  memory_size : 64 ; battery_size : 3060 ; os  :  Android,Android,5020,5.8,64,3060,Sep-18,
396,realme,1,6S 4/64GB Eclipse Black,screen_size : 6.5 ;  memory_size : 64 ; battery_size : 4300 ; os  :  Android,Android,5777,6.5,64,4300,Jan-21,
397,realme,1,6S 4/64GB Eclipse Black,screen_size : 6.5 ;  memory_size : 64 ; battery_size : 4300 ; os  :  Android,Android,5777,6.5,64,4300,Jan-21,
398,realme,1,6S 6/128GB Lunar White,screen_size : 6.5 ;  memory_size : 128 ; battery_size : 4300 ; os  :  Android,Android,6078,6.5,128,4300,Oct-20,
399,OnePlus,1,6T 8/256GB Midnight Black,screen_size : 6.41 ;  memory_size : 256 ; battery_size : 3700 ; os  :  Android,Android,15625,6.41,256,3700,Oct-18,
400,realme,1,6i 3/64GB White,screen_size : 6.5 ;  memory_size : 64 ; battery_size : 5000 ; os  :  Android,Android,4292,6.5,64,5000,Apr-20,
401,realme,1,6i 4/128GB Green,screen_size : 6.5 ;  memory_size : 128 ; battery_size : 5000 ; os  :  Android,Android,4946,6.5,128,5000,Apr-20,
402,Honor,1,7 16GB (Gold),screen_size : 5.2 ;  memory_size : 16 ; battery_size : 3100 ; os  :  Android,Android,2766,5.2,16,3100,Jul-15,
403,Honor,1,7 16GB (Gold),screen_size : 5.2 ;  memory_size : 16 ; battery_size : 3100 ; os  :  Android,Android,2766,5.2,16,3100,Jul-15,
404,Honor,1,7 16GB (Gold),screen_size : 5.2 ;  memory_size : 16 ; battery_size : 3100 ; os  :  Android,Android,2766,5.2,16,3100,Jul-15,
405,realme,1,7 6/64GB Mist Blue,screen_size : 6.5 ;  memory_size : 64 ; battery_size : 5000 ; os  :  Android,Android,6215,6.5,64,5000,Feb-21,
406,OnePlus,1,7 8/256GB Mirror Gray,screen_size : 6.41 ;  memory_size : 256 ; battery_size : 3700 ; os  :  Android,Android,14443,6.41,256,3700,Jul-19,
407,Nokia,1,7 Plus 4/64GB Black,screen_size : 6 ;  memory_size : 64 ; battery_size : 3800 ; os  :  Android,Android,7612,6,64,3800,Mar-18,
408,realme,1,7 Pro 8/128GB Mirror Blue,screen_size : 6.4 ;  memory_size : 128 ; battery_size : 4500 ; os  :  Android,Android,8584,6.4,128,4500,Oct-20,
409,OnePlus,1,8 12/256GB Onyx Black,screen_size : 6.55 ;  memory_size : 256 ; battery_size : 4300 ; os  :  Android,Android,17172,6.55,256,4300,Apr-20,
410,Honor,1,8 3/32GB Blue,screen_size : 5.2 ;  memory_size : 32 ; battery_size : 3000 ; os  :  Android,Android,3613,5.2,32,3000,May-18,
411,Honor,1,8 4/64GB (Blue),screen_size : 5.2 ;  memory_size : 64 ; battery_size : 3000 ; os  :  Android,Android,3499,5.2,64,3000,Nov-16,
412,OnePlus,1,8 8/128GB Onyx Black,screen_size : 6.55 ;  memory_size : 128 ; battery_size : 4300 ; os  :  Android,Android,15840,6.55,128,4300,Apr-20,
413,Nokia,1,8 Dual SIM Silver,screen_size : 5.3 ;  memory_size : 64 ; battery_size : 3090 ; os  :  Android,Android,6222,5.3,64,3090,Oct-17,
414,OnePlus,1,8 Pro 12/256GB Glacial Green,screen_size : 6.78 ;  memory_size : 256 ; battery_size : 4510 ; os  :  Android,Android,22587,6.78,256,4510,Apr-20,
415,OnePlus,1,8 Pro 8/128GB Onyx Black,screen_size : 6.78 ;  memory_size : 128 ; battery_size : 4510 ; os  :  Android,Android,20709,6.78,128,4510,Apr-20,
416,Nokia,1,8.3 5G 8/128GB Polar Night,screen_size : 6.81 ;  memory_size : 128 ; battery_size : 4500 ; os  :  Android,Android,19041,6.81,128,4500,Oct-20,
417,Nokia,1,800 Tough Black,screen_size : 2.4 ;  memory_size : 4 ; battery_size : 2100 ; os  :  ,,3241,2.4,4,2100,Oct-19,
418,Nokia,1,800 Tough Sand,screen_size : 2.4 ;  memory_size : 4 ; battery_size : 2100 ; os  :  ,,3216,2.4,4,2100,Jan-20,
419,Honor,1,8A 2/32GB Gold,screen_size : 6.09 ;  memory_size : 32 ; battery_size : 3020 ; os  :  Android,Android,3199,6.09,32,3020,Mar-19,
420,Honor,1,8A 3/64GB Blue,screen_size : 6.09 ;  memory_size : 64 ; battery_size : 3020 ; os  :  Android,Android,3844,6.09,64,3020,Nov-19,
421,Honor,1,8A 3/64GB Blue,screen_size : 6.09 ;  memory_size : 64 ; battery_size : 3020 ; os  :  Android,Android,3844,6.09,64,3020,Nov-19,
422,Honor,1,8S 2/32GB Black (51093ULM),screen_size : 5.7 ;  memory_size : 32 ; battery_size : 3020 ; os  :  Android,Android,2499,5.7,32,3020,May-19,
423,Honor,1,8S 2/32GB Black (51093ULM),screen_size : 5.7 ;  memory_size : 32 ; battery_size : 3020 ; os  :  Android,Android,2499,5.7,32,3020,May-19,
424,OnePlus,1,8T 12/256GB Cyberpunk 2077 Limited Edition,screen_size : 6.55 ;  memory_size : 256 ; battery_size : 4500 ; os  :  Android,Android,23999,6.55,256,4500,Jan-21,
425,OnePlus,1,8T 12/256GB Lunar Silver,screen_size : 6.55 ;  memory_size : 256 ; battery_size : 4500 ; os  :  Android,Android,18200,6.55,256,4500,Oct-20,
426,OnePlus,1,8T 8/128GB Aquamarine Green,screen_size : 6.55 ;  memory_size : 128 ; battery_size : 4500 ; os  :  Android,Android,16845,6.55,128,4500,Oct-20,
427,Honor,1,8x Max 4/64GB Black,screen_size : 7.12 ;  memory_size : 64 ; battery_size : 5000 ; os  :  Android,Android,5652,7.12,64,5000,Oct-18,
428,Honor,1,8x Max 4/64GB Black,screen_size : 7.12 ;  memory_size : 64 ; battery_size : 5000 ; os  :  Android,Android,5652,7.12,64,5000,Oct-18,
429,Honor,1,8x Max 4/64GB Blue,screen_size : 7.12 ;  memory_size : 64 ; battery_size : 5000 ; os  :  Android,Android,5844,7.12,64,5000,Nov-18,
430,Honor,1,9 4/64GB Dual Blue,screen_size : 5.15 ;  memory_size : 64 ; battery_size : 3200 ; os  :  Android,Android,4461,5.15,64,3200,Sep-17,
431,Honor,1,9 Lite 3/32GB Midnight Black,screen_size : 5.65 ;  memory_size : 32 ; battery_size : 3000 ; os  :  Android,Android,3491,5.65,32,3000,Mar-18,
432,Honor,1,9i 3/32GB Black,screen_size : 5.84 ;  memory_size : 32 ; battery_size : 3000 ; os  :  Android,Android,3424,5.84,32,3000,Jun-20,
433,Honor,1,9i 3/32GB Black,screen_size : 5.84 ;  memory_size : 32 ; battery_size : 3000 ; os  :  Android,Android,3424,5.84,32,3000,Jun-20,
434,Honor,1,9i 4/64GB Blue,screen_size : 5.84 ;  memory_size : 64 ; battery_size : 3000 ; os  :  Android,Android,4009,5.84,64,3000,Dec-18,
435,Honor,1,9i 4/64GB Blue,screen_size : 5.84 ;  memory_size : 64 ; battery_size : 3000 ; os  :  Android,Android,4009,5.84,64,3000,Dec-18,
436,Honor,1,9x 4/128GB Black,screen_size : 6.59 ;  memory_size : 128 ; battery_size : 4000 ; os  :  Android,Android,5599,6.59,128,4000,Nov-19,
437,Ulefone,1,A1 Dual Black,screen_size : 2.4 ;  memory_size : 0.032 ; battery_size : 2000 ; os  :  ,,817,2.4,0.032,2000,Feb-19,
438,Ulefone,1,A1 Dual Gold,screen_size : 2.4 ;  memory_size : 0.032 ; battery_size : 2000 ; os  :  ,,834,2.4,0.032,2000,Feb-19,
439,Ulefone,1,A1 Silver,screen_size : 2.4 ;  memory_size :  ; battery_size : 2000 ; os  :  ,,805,2.4,,2000,Dec-19,
440,AGM,1,A10 6/128GB Black,screen_size : 5.7 ;  memory_size : 128 ; battery_size : 4400 ; os  :  Android,Android,5628,5.7,128,4400,Oct-20,
441,OPPO,1,A12 3/32GB Black,screen_size : 6.22 ;  memory_size : 32 ; battery_size : 4230 ; os  :  Android,Android,3520,6.22,32,4230,Jun-20,
442,OPPO,1,A12 4/64GB Blue,screen_size : 6.22 ;  memory_size : 64 ; battery_size : 4230 ; os  :  Android,Android,3949,6.22,64,4230,Aug-20,
443,Astro,1,A144 Black/Red,screen_size : 1.77 ;  memory_size : 0.032 ; battery_size : 600 ; os  :  ,,214,1.77,0.032,600,Sep-19,
444,Astro,1,A167 Black/Red,screen_size : 3.2 ;  memory_size :  ; battery_size : 1000 ; os  :  ,,599,3.2,,1000,Oct-20,
445,Astro,1,A167 Black/Red,screen_size : 3.2 ;  memory_size :  ; battery_size : 1000 ; os  :  ,,599,3.2,,1000,Oct-20,
446,Astro,1,A167 Black/Red,screen_size : 3.2 ;  memory_size :  ; battery_size : 1000 ; os  :  ,,599,3.2,,1000,Oct-20,
447,Astro,1,A169 Black Gray,screen_size : 1.77 ;  memory_size :  ; battery_size : 1000 ; os  :  ,,399,1.77,,1000,Apr-20,
448,Rezone,1,A170 Point Black,screen_size : 1.77 ;  memory_size :  ; battery_size : 600 ; os  :  ,,252,1.77,,600,Apr-19,
449,Rezone,1,A170 Point Black,screen_size : 1.77 ;  memory_size :  ; battery_size : 600 ; os  :  ,,252,1.77,,600,Apr-19,
450,Rezone,1,A170 Point Dark Blue,screen_size : 1.77 ;  memory_size :  ; battery_size : 600 ; os  :  ,,252,1.77,,600,Apr-19,
451,Rezone,1,A170 Point Dark Blue,screen_size : 1.77 ;  memory_size :  ; battery_size : 600 ; os  :  ,,252,1.77,,600,Apr-19,
452,Rezone,1,A170 Point Dark Blue,screen_size : 1.77 ;  memory_size :  ; battery_size : 600 ; os  :  ,,252,1.77,,600,Apr-19,
453,Astro,1,A173 Black/Orange,screen_size : 1.77 ;  memory_size : 0.032 ; battery_size : 800 ; os  :  ,,279,1.77,0.032,800,Jun-18,
454,Astro,1,A225 Black,screen_size : 2.4 ;  memory_size : 0.032 ; battery_size : 1000 ; os  :  ,,359,2.4,0.032,1000,Jun-18,
455,Astro,1,A225 Black,screen_size : 2.4 ;  memory_size : 0.032 ; battery_size : 1000 ; os  :  ,,359,2.4,0.032,1000,Jun-18,
456,Rezone,1,A240 Experience Red,screen_size : 2.4 ;  memory_size :  ; battery_size : 800 ; os  :  ,,308,2.4,,800,Apr-19,
457,Rezone,1,A281 Force Black,screen_size : 2.8 ;  memory_size :  ; battery_size : 6000 ; os  :  ,,632,2.8,,6000,Apr-19,
458,Blackview,1,A30 2/16GB Black,screen_size : 5.5 ;  memory_size : 16 ; battery_size : 2500 ; os  :  Android,Android,1852,5.5,16,2500,Sep-18,
459,Blackview,1,A30 2/16GB Black,screen_size : 5.5 ;  memory_size : 16 ; battery_size : 2500 ; os  :  Android,Android,1852,5.5,16,2500,Sep-18,
460,OPPO,1,A31 4/64GB Mystery Black,screen_size : 6.5 ;  memory_size : 64 ; battery_size : 4230 ; os  :  Android,Android,4471,6.5,64,4230,Mar-20,
461,OPPO,1,A5 2020 3/64GB Black,screen_size : 6.5 ;  memory_size : 64 ; battery_size : 5000 ; os  :  Android,Android,4773,6.5,64,5000,Nov-19,
462,Archos,1,A50 GRANITE 2/16GB Black,screen_size : 5 ;  memory_size : 16 ; battery_size : 2700 ; os  :  Android,Android,1599,5,16,2700,Nov-18,
463,Bravis,1,A512 Harmony Pro DS Black,screen_size : 5 ;  memory_size : 16 ; battery_size : 3200 ; os  :  Android,Android,2199,5,16,3200,Jan-19,
464,OPPO,1,A52 4/64GB Twilight Black,screen_size : 6.5 ;  memory_size : 64 ; battery_size : 5000 ; os  :  Android,Android,5448,6.5,64,5000,May-20,
